Data Point,Subject,Source,Dates
Vehicle Registrations: Region,Climate,Washington State Department of Licensing via the Washington State Open Data Portal: https://data.wa.gov/Transportation/Title-Transactions-by-Month/u4cd-bc3x,January 2017 - January 2026
Vehicle Registrations: Census Tracts,Climate,Washington State Department of Licensing via the Washington State Open Data Portal: https://data.wa.gov/Transportation/Title-Transactions-by-Month/u4cd-bc3x,January 2017 - January 2026
Daily Vehicle Miles Traveled: Region,Climate,Washington State Department of Transportation Highway Performance Monitoring Section and PSRC SoundCast Activity Based Model,2010 - 2050
Daily Vehicle Miles Traveled: County,Climate,Washington State Department of Transportation Highway Performance Monitoring Section and PSRC SoundCast Activity Based Model,2010 - 2024
Annual Vehicle Kilometers Traveled,Climate,https://intlcomparisons.org/printable-transportation/ and PSRC SoundCast Activity Based Model,2024
Work from Home: County,Climate,"ACS 5yr Data Table B08301 for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Work from Home: Race and Ethnicity,Climate,"US Census Bureau 5-yr PUMS Variable JWTRNS for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Work from Home: Metro Areas,Climate,ACS 5yr Data Table B08301 by county in each metro region,"2014, 2019, 2024"
Work from Home: City,Climate,"ACS 5yr Data Table B08301 by place in King, Kitsap, Pierce and Snohomish counties.","2014, 2019, 2024"
Traffic Related Deaths and Serious Injuries: Region,Safety,"Washington Traffic Safety Commission Coded Fatality Files, WSDOT, Crash Data Division, Multi-Row data files (MRFF)",2010 - 2024
Traffic Related Deaths and Serious Injuries: Historically Disadvantaged Communities,Safety,"Washington Traffic Safety Commission Coded Fatality Files, WSDOT, Crash Data Division, Multi-Row data files (MRFF)",2010 - 2024
Traffic Related Deaths and Serious Injuries: County,Safety,"Washington Traffic Safety Commission Coded Fatality Files, WSDOT, Crash Data Division, Multi-Row data files (MRFF)",2019 - 2024
Traffic Related Deaths and Serious Injuries: Metropolitan Regions,Safety,"NHTSA Fatality Analysis Reporting System (FARS) Data, US Census Bureau American Community Survey (ACS) 5-year data Table B03002",2023
Traffic Related Deaths: Race and Ethnicity,Safety,"Washington Traffic Safety Commission Coded Fatality Files, US Census Bureau American Community Survey (ACS) 5-year data Table B03002",2024
Traffic Related Deaths and Serious Injuries: Age Group,Safety,"Washington Traffic Safety Commission Coded Fatality Files, WSDOT, Crash Data Division, Multi-Row data files (MRFF), US Census Bureau American Community Survey (ACS) 5-year data Table B01001",2024
Traffic Related Deaths and Serious Injuries: Gender,Safety,"Washington Traffic Safety Commission Coded Fatality Files, WSDOT, Crash Data Division, Multi-Row data files (MRFF), US Census Bureau American Community Survey (ACS) 5-year data Table B01001",2024
Traffic Related Deaths and Serious Injuries: Mode,Safety,"Washington Traffic Safety Commission Coded Fatality Files, WSDOT, Crash Data Division, Multi-Row data files (MRFF)",2010 - 2024
