page,section,description
Overview,Overview,"The <b>RTP Performance Dashboard</b> is a resource to help the region understand how well it is meeting long range goals and desired outcomes identified in the <b>Regional Transportation Plan (RTP)</b>. The Dashboard is updated each fall and early winter as various Census and other Transportation related data sources are released. Metrics on the Dashboard are focused on topic areas that were identified by the <b>Transportation Policy Board (TPB)</b> as high priorities for the region during development of the <b>RTP</b>. <br><br> The  <b>RTP</b> sets a course for maintaining and expanding our transportation network, to ensure residents and goods can travel easily throughout the region. The plan is built on six foundations identified by the <b>TPB</b> and our region's communities:"
Overview,OverviewCMP,"Each Metropolitan Planning Organization (MPO) the size of PSRC is federally mandated to develop and implement a <b>Congestion Management Process (CMP)</b> consistent with the requirements established in <b>23 CFR 450.320</b>. FHWA defines the <b>CMP</b> as “a systematic and regionally accepted approach for managing congestion that provides accurate, up-to-date information on transportation system performance and assesses alternative strategies for congestion management that meets state and local needs.”  In the central Puget Sound region, the <b>CMP</b> is integrated throughout all planning stages rather than conducted as a stand-alone process. PSRC uses an interactive Transportation System Visualization Tool to inform the <b>CMP</b> as well as this interactive dashboard to provide information on key transportation metrics including Federal Performance Targets. This approach allows regional performance data not only to be considered throughout the PSRC planning process, but also to be integrated into other efforts throughout the region."
Overview,Overview-Foundations,"<ol><li>Maintain and preserve the existing transportation system.</li> <br> <li>Create a multimodal system that works for everyone, no matter how they get around.</li> <br> <li>Promote a safe and healthy transportation system.</li> <br> <li>Address Regional Climate Goals.</li> <br> <li>Evaluate progress toward plan goals.</li> <br> <li>Develop a practical financial strategy to identify revenue sources and cover costs.</li></ol>"
Overview,Overview-HowTo,"This dashboard is updated in late fall / early winter each calendar year and is based on a handful of data sources.<br><br><ul><li>National Transit Database (NTD) Performance Data</li><li>Washington State Department of Licensing Vehicle Registration Data</li><li>Washington State Department of Transportation HPMS & Safety Data</li><li>Washington State Traffic Safety Commission Coded Fatality Files</li><li>US Census Bureau ACS and PUMS 5yr data</li></ul>The dashboard pages are organized by topics that an individual might be interested in. The pages can be accessed by the links along the top of the dashboard. The six different dashboard pages are:<br><br><ul><li><b>Climate:</b> Summarizes key performance metrics for transportation decarbonization, vehicle miles of travel and work from home trends.</li><li><b>Safety:</b> Summarizes serious and fatal collisions by various demographics. </li><li><b>Growth:</b> Summarizes population, housing and job growth in the region as well as around high-capacity transit.</li><li><b>Transit:</b> Summarizes boardings and service hours by operator and mode as well as transit mode share to work.</li><li><b>Walk & Bike:</b> Summarizes the number of people that chose to walk and bike for transportation purposes.</li><li><b>Travel Time:</b> Summarizes travel time, congestion and departure time to work for residents at various geographies.</li></ul> "
Climate,Overview,"Climate change is a primary focus of <b>VISION 2050</b> and the <b>RTP</b>, with a goal for the region to substantially reduce emissions of greenhouse gases that contribute to climate change in accordance with the goals of the Puget Sound Clean Air Agency (<b>50%</b> below 1990 levels by 2030 and <b>80%</b> below 1990 levels by 2050) as well as to prepare for climate change impacts.  The region's Four-Part Greenhouse Gas Strategy focuses on reducing emissions within the categories of Land Use, Transportation Choices, Pricing and Technology."
Climate,RegistrationsRegion,"Decarbonization of the transportation fleet is an important part of the region's Greenhouse Gas Strategy. In 2025, almost 19% of all vehicle purchases (new or used vehicles) in the region have been electric or plug-in electric vehicles and by the end of the year, about 47% of all new vehicle registrations were either Battery-Electric or Hybrid vehicles."
Climate,RegistrationsTract,"Electric vehicle registrations are all the across the Puget Sound Region but some of the highest levels of market penetration are in the Seattle, Bellevue and Redmond area. There are noticeable areas in Kitsap, Pierce and Snohomish counties that have lower ZEV registration levels and they tend to overlap with areas of lower incomes."
Climate,VMTRegion,"Vehicle miles traveled peaked in the late 1990’s at around 24 miles per person per day. In 2018, the average miles driven per person had reduced to about 21 miles per day. Over the next thirty years, the average miles driven per capita is forecasted to reduce even further to approximately 17 miles per day per person."
Climate,VMTCounty,"Vehicle miles driven vary greatly across the region. For example, even though the average resident of the region travels almost 17 miles per day in 2050, people with lower incomes travel about 15 miles per day and people living in regional growth centers travel around 7 miles per day."
Climate,VKTCompare,"Under VISION 2050, a significant amount of the growth between 2018 and 2050 is focused in regional growth centers and near high-capacity transit stations. The majority of these areas are located in the VISION 2050 regional geographies of Metropolitan Cities, Core Cities and High-Capacity Transit Communities, the most urbanized and densely developed parts of the region. As shown below, driving in these places is more like many European countries than to other parts of the United States by 2050."
Climate,WFHRegion,"In 2023, approximately 24% of people worked from home in the Central Puget Sound region, up from 6% in 2014. King County had the highest share of work from home rates at 29%, reflective of the higher share of technology workers. Pierce County has a work from home rate less than 1/2 of King County."
Climate,WFHRace,"There are notable differences in work-from-home rates by Race & Ethnicity, reflective of the types of employment by race. In general work from home rates for Asian residents was double that of Black workers. In 2023, 26% of Asian workers worked from home while 14% of Hispanic workers did."
Climate,WFHMetro,"The Seattle area had similar work from home rates of other major metro areas with large tech influences such as Austin, Denver, Washington DC and the Bay Area."
Climate,WFHCity,Many cities east of Lake Washington had some of the highest work from home rates in 2024.
Transit,Type,"<ul><li>A higher share of People of color, who data show tend to use transit more, live closer to transit than the regional average.</li> <br> <li>The share of Equity Focus Area populations living close to high capacity transit modes has increased since 2019.</li> <br> <li>The number of people living close to all transit in 2024 was slightly lower than 2019.</li></ul>"
Transit,Trips,"<ul><li>Almost half of people of color live within 1/2 miles of a transit stop that has at least 4 trips an hour serving it.</li> <br> <li>Approximately 650,000 people live within half a mile of a transit stop that has a bus going somewhere every five minutes.</li> <br> <li>The share of people living close to all transit stops with a trip every 7-1/2 minutes was the same in the fall of 2024 as it was in 2019.</li></ul>"
Source,Overview,"The data in this dashboard is updated throughout the year as new data is released. The dashboard and data prep scripts are all written in R and the code is available via GitHub and is available for use by others interested in adapting it for their own use . The code for the dashboard is available at ""https://github.com/psrc/transit-dashboard"" and a set of functions for data summarization for the PSRC region is available at ""https://github.com/psrc/transit-dashboard-data-process"". The table below lists the relevant data sources for all tables and figures in the dashboard."
