geography,variable,metric,data_year,estimate,geography_type,moe,share,share_moe,grouping
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2002,2048787,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2002,220116,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2002,20381,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2002,100.52,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2003,2102433,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2003,245303,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2003,22905,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2003,91.79,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2004,764893,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2004,104703,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2004,9526,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2004,80.3,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2005,1504240,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2005,161380,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2005,15582,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2005,96.54,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2006,239726,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2006,19560,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2006,2195,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2006,109.21,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2007,1589065,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2007,176540,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2007,18620,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2007,85.34,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2008,1559778,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2008,184604,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2008,18991,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2008,82.13,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2009,1732301,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2009,198884,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2009,19555,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2009,88.59,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2010,1789137,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2010,201756,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2010,19483,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2010,91.83,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2011,1890867,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2011,217388,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2011,20782,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2011,90.99,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2012,2106846,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2012,219438,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2012,21334,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2012,98.76,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2013,2092673,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2013,223612,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2013,21618,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2013,96.8,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2014,2162624,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2014,222900,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2014,21508,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2014,100.55,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2015,2292953,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2015,229219,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2015,21462,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2015,106.84,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2016,2243329,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2016,229784,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2016,21453,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2016,104.57,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2017,2129479,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2017,226133,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2017,21455,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2017,99.25,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2018,2021780,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2018,209229,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2018,21397,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2018,94.49,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2019,1939224,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2019,195517,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2019,20041,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2019,96.76,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2020,298349,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2020,117916,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2020,12278,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2020,24.3,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2021,666872,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2021,113263,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2021,11141,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2021,59.86,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Boardings,2022,1225946,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Miles,2022,169183,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",Transit Revenue-Hours,2022,15737,PSRC Region,0,0,0,All
City of Seattle,"Light Rail, Streetcar, & Monorail",boardings_per_hour,2022,77.9,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2002,7942119,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2002,7891265,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2002,356685,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2002,22.27,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2003,7923217,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2003,8997051,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2003,400817,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2003,19.77,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2004,8668040,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2004,9731493,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2004,431477,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2004,20.09,PSRC Region,0,0,0,All
