process,project_id,sponsor,title,funding_request,phase,category,funded,center,access,equity,safety,climate,waehd,readiness,total_points,description
CMAQ,1,Community Transit,Swift Gold Line Zero Emission Expansion Buses,8000000,Other,Corridor,Yes,10,11,9,4,20,10,3,67,"The Swift Gold Line will be the fourth line of Community Transit’s BRT network. From north to south, the Swift Gold Line will begin at the Smokey Point Transit center and end at the Everett
Station, with multiple stops along the way including downtown Marysville, the Cascade Industrial Center (CIC), and Everett Community College. Ending at the Everett Station, this line
will provide easy public transit connections to multiple modes of transportation, providing riders with easy connections to a wide region. Community Transit is requesting funding for thirteen (13) Expansion buses to operate the Swift Gold Line BRT."
CMAQ,2,Everett,California Street Ped/Bike Corridor,8200000,Construction,Regional Growth Center,No,4,10,3,3,8,10,4,42,"The project will construct sidewalks to fill gaps and widen sidewalks along the California Street corridor from Broadway to Pine, install a two-way cycle track on the north side of California Street from Broadway to Pine, delineate formal angled parking on the south side of California Street, with curb extensions and Rectangular Rapid Flashing Beacon (RRFB) protected crossings from Broadway to Pine, construct sidewalks on the west side of Pine from California to Hewitt and a shared use path on the east side of Pine from California to Hewitt, modify the existing sidewalk on the south side of Hewitt from Pine to Maple, modify the existing RRFB at Hewitt and Pine and existing signal at Hewitt and Maple, relocate the Hewitt crossing to the US 2 ramp to Chestnut Street, provide an off-street connection between the Chestnut crossing and US 2 trail, and the asphalt overlay of California Street and Pine Street within project limits."
CMAQ,3,King County Metro,King County Post Pandemic TDM  ,6400000,Other,Corridor,No,5,7,7,2,28,10,4,63,"The proposed project will apply effective transportation demand management (TDM)
strategies to increase transit and rideshare ridership based on a deeper, more holistic
understanding of a changing transit market in a post COVID-19 pandemic society. It will
increase and extend existing Metro TDM programs and apply new, innovative strategies. The
project will focus on 24 designated Regional Growth and MIC Centers in both King and
Snohomish counties which are connected by 17 high-capacity transit corridors with existing
service, and upcoming new services starting between 2024 and 2027 alongside parallel
transit feeder service restructures in both counties."
CMAQ,4,King County Metro,South Annex Base Expansion and Electrification,8225000,Construction,Corridor,Yes,7,10,6,1,32,10,5,71,"The South Annex Base (SAB) project will rehabilitate and upgrade an existing Metro owned
property at its South Campus in Tukwila to create a new transit base. The new base will
increase Metro’s base capacity to support the expansion of Metro’s bus fleet by
approximately 250 new 100% electric buses. The additional base capacity will allow Metro to
provide additional transit service as all of its existing bases are at or beyond capacity and
unable to accommodate additional buses to increase service. The SAB will also create base
capacity that will allow Metro to upgrade its other six operating bases to support a fully electric
bus fleet of over approximately 1,361 buses by 2035 while maintain transit service that
operates out of these bases."
CMAQ,5,Northwest Seaport Alliance, Zero-Emission Cargo-Handling Equipment Incentive Program,4400000,Other,Manufacturing / Industrial Center,No,3,6,8,1,28,10,2,58,"The Zero-Emission Cargo-Handling Equipment Incentive Program will support the tenants of
the Northwest Seaport Alliance (NWSA) to retire their diesel equipment early and replace
them with zero-emission (battery-electric or hydrogen) equivalent units. The program will help
the NWSA and its tenants meet the goals of the Northwest Ports Clean Air Strategy,
eliminating all seaport-related emissions by 2050. Cargo-handling equipment (CHE) is a
priority activity sector to target in the near-term, as equipment stays on the terminal for its
entire lifetime, meaning near-port communities in the Seattle and Tacoma Harbors are living
side-by-side with these resulting diesel exhaust emissions."
CMAQ,6,Pierce Transit,Pacific Avenue/SR 7 Bus Rapid Transit: 112th Street S to 99th Street S,4800000,Construction,Corridor,Yes,8,12,9,6,20,10,3,68,"Pierce Transit is planning capital improvements to support its first Stream bus rapid transit
(BRT) line. Beginning in the north at S 9th Street and Commerce Street in Tacoma,
Washington, the Stream 1 BRT will travel predominantly along Pacific Avenue/SR 7 to the
southern terminus at the Spanaway Transit Center. This project, a subsegment of the larger
Stream 1 BRT corridor, will focus on the construction of transit priority lanes and multimodal
access to transit through the interchange with SR 512, the most congested portion of the
BRT corridor. The project’s limits from 112th Street S to 99th Street S (0.81 miles or 6 percent
of the corridor length) will span the most congested section of Pacific Avenue within the
Stream 1 BRT corridor but represent approximately half of the projected total transit travel
time benefits. The project will provide dedicated median transit-only lanes between 112th
Street S to 104th Street S in both directions and a southbound, transit-only lane from 104th
Street S to 99th Street S. In addition, two new transit stations will be constructed at 112th
Street S and 104th Street S with signal enhancements for pedestrian safety and transit
operation. "
CMAQ,7,PSCAA,On Track for the Future: Tacoma Rail Battery-Electric Switcher Locomotive Replacement Project,5500000,Construction,Manufacturing / Industrial Center,Yes,4,4,8,1,30,10,4,61,`
CMAQ,8,Sound Transit,Boeing Access Rd Infill Station,8230000,PE/Design,Corridor,Yes,12,11,9,2,25,10,3,72,"CMAQ funds will design a new light rail station in the vicinity of S. Boeing Access Road, East
Marginal Way S., and I-5 in north Tukwila. Part of the Link 1 Line connecting multiple regional
growth centers between Northgate and SeaTac, the S. Boeing Access Road Infill (BARI)
Station will be in the northern portion of the North Tukwila Manufacturing Industrial Center
(North Tukwila MIC) which is home to 147 businesses employing almost 13,500 people
(Background Memo, Economic Development Element of Comprehensive Plan). The BARI
Station will serve major employers and destinations including the Boeing Company, King
County Metro (South Base), Kaiser Permanente, the US Postal Service, BECU Financial Center,
and the Museum of Flight."
CMAQ,9,Sound Transit,Graham Street Infill Station,8230000,PE/Design,Corridor,No,5,10,7,2,25,10,3,62,"This CMAQ request will fund the design of a new light rail station in the City of Seattle on
Martin Luther King Jr. Way between Graham Street and Morgan Street along the existing Link
light rail Line 1. The new Graham Street Station will be located between the existing Columbia
City and Othello stations and built to accommodate 4-car trains, increasing access in the
Rainier Valley and serving the growing Hillman City neighborhood. Trains will run every 6
minutes in peak periods, serving an estimated 2,500 riders per day at Graham St Station,
reducing VMT in the region by 21,650 per day. The Station will also include pedestrian and
bicycle improvements in the station area."
CMAQ,10,WSF,"Terminal Electriﬁcation -Clinton Terminal, Mukilteo-Clinton Ferry Route",4900000,Construction,Corridor,No,4,6,8,2,35,0,5,60,"Washington State Ferries (WSF) is undertaking an ambitious electrification program, as
described in its 2020 System Electrification Plan, to move toward a “greener” ferry fleet. As
the largest ferry system in the U.S.—carrying nearly 25 million people each year on 10 routes
—WSF is leading the way in the marine industry by outlining and acting on a plan that will
reduce CO2e emissions by 76% over twenty years. The initial and most consequential
elements of this plan include building five new hybrid-electric Olympic class (HEOC) vessels,
converting three Jumbo Mark II vessels to hybrid-electric operation and developing electric
charging infrastructure at five terminals to support full battery-electric operation of these
vessels."
