date,data_year,geography,geography_type,variable,metric,estimate,grouping
12/1/2011,2011,Kitsap,County,Observed,Vehicle Miles Traveled,"4,677,304",Total
12/1/2012,2012,Kitsap,County,Observed,Vehicle Miles Traveled,"4,800,959",Total
12/1/2013,2013,Kitsap,County,Observed,Vehicle Miles Traveled,"4,782,647",Total
12/1/2014,2014,Kitsap,County,Observed,Vehicle Miles Traveled,"4,870,860",Total
12/1/2015,2015,Kitsap,County,Observed,Vehicle Miles Traveled,"5,098,105",Total
12/1/2016,2016,Kitsap,County,Observed,Vehicle Miles Traveled,"4,957,732",Total
12/1/2017,2017,Kitsap,County,Observed,Vehicle Miles Traveled,"5,019,000",Total
12/1/2018,2018,Kitsap,County,Observed,Vehicle Miles Traveled,"5,119,890",Total
12/1/2019,2019,Kitsap,County,Observed,Vehicle Miles Traveled,"5,090,695",Total
12/1/2020,2020,Kitsap,County,Observed,Vehicle Miles Traveled,"4,382,783",Total
12/1/2021,2021,Kitsap,County,Observed,Vehicle Miles Traveled,"4,730,000",Total
12/1/2022,2022,Kitsap,County,Observed,Vehicle Miles Traveled,"4,801,691",Total
12/1/2018,2018,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,119,890",Total
12/1/2019,2019,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,090,695",Total
12/1/2020,2020,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,121,433",Total
12/1/2021,2021,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,092,238",Total
12/1/2022,2022,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,093,780",Total
12/1/2023,2023,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,095,323",Total
12/1/2024,2024,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,096,866",Total
12/1/2025,2025,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,098,409",Total
12/1/2026,2026,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,099,951",Total
12/1/2027,2027,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,101,494",Total
12/1/2028,2028,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,103,037",Total
12/1/2029,2029,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,104,580",Total
12/1/2030,2030,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,107,665",Total
12/1/2031,2031,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,154,779",Total
12/1/2032,2032,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,201,892",Total
12/1/2033,2033,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,249,006",Total
12/1/2034,2034,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,296,120",Total
12/1/2035,2035,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,343,234",Total
12/1/2036,2036,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,390,347",Total
12/1/2037,2037,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,437,461",Total
12/1/2038,2038,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,484,575",Total
12/1/2039,2039,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,531,688",Total
12/1/2040,2040,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,578,802",Total
12/1/2041,2041,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,620,922",Total
12/1/2042,2042,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,663,042",Total
12/1/2043,2043,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,705,161",Total
12/1/2044,2044,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,747,281",Total
12/1/2045,2045,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,789,401",Total
12/1/2046,2046,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,831,521",Total
12/1/2047,2047,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,873,641",Total
12/1/2048,2048,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,915,760",Total
12/1/2049,2049,Kitsap,County,Forecast,Vehicle Miles Traveled,"5,957,880",Total
12/1/2050,2050,Kitsap,County,Forecast,Vehicle Miles Traveled,"6,000,000",Total
12/1/1980,1980,Pierce,County,Observed,Vehicle Miles Traveled,"7,529,159",Total
12/1/1981,1981,Pierce,County,Observed,Vehicle Miles Traveled,"7,519,894",Total
12/1/1982,1982,Pierce,County,Observed,Vehicle Miles Traveled,"7,979,846",Total
12/1/1983,1983,Pierce,County,Observed,Vehicle Miles Traveled,"8,205,190",Total
12/1/1984,1984,Pierce,County,Observed,Vehicle Miles Traveled,"8,430,533",Total
12/1/1985,1985,Pierce,County,Observed,Vehicle Miles Traveled,"8,862,288",Total
12/1/1986,1986,Pierce,County,Observed,Vehicle Miles Traveled,"9,063,798",Total
12/1/1987,1987,Pierce,County,Observed,Vehicle Miles Traveled,"10,607,484",Total
12/1/1988,1988,Pierce,County,Observed,Vehicle Miles Traveled,"12,010,468",Total
12/1/1989,1989,Pierce,County,Observed,Vehicle Miles Traveled,"12,714,865",Total
12/1/1990,1990,Pierce,County,Observed,Vehicle Miles Traveled,"12,936,828",Total
12/1/1991,1991,Pierce,County,Observed,Vehicle Miles Traveled,"13,162,882",Total
12/1/1992,1992,Pierce,County,Observed,Vehicle Miles Traveled,"13,428,518",Total
12/1/1993,1993,Pierce,County,Observed,Vehicle Miles Traveled,"13,720,265",Total
12/1/1994,1994,Pierce,County,Observed,Vehicle Miles Traveled,"13,951,057",Total
12/1/1995,1995,Pierce,County,Observed,Vehicle Miles Traveled,"14,303,758",Total
12/1/1996,1996,Pierce,County,Observed,Vehicle Miles Traveled,"14,235,140",Total
12/1/1997,1997,Pierce,County,Observed,Vehicle Miles Traveled,"14,835,031",Total
12/1/1998,1998,Pierce,County,Observed,Vehicle Miles Traveled,"15,099,825",Total
12/1/1999,1999,Pierce,County,Observed,Vehicle Miles Traveled,"15,287,139",Total
12/1/2000,2000,Pierce,County,Observed,Vehicle Miles Traveled,"15,667,338",Total
12/1/2001,2001,Pierce,County,Observed,Vehicle Miles Traveled,"15,731,064",Total
12/1/2002,2002,Pierce,County,Observed,Vehicle Miles Traveled,"16,626,231",Total
12/1/2003,2003,Pierce,County,Observed,Vehicle Miles Traveled,"16,736,583",Total
12/1/2004,2004,Pierce,County,Observed,Vehicle Miles Traveled,"16,468,511",Total
12/1/2005,2005,Pierce,County,Observed,Vehicle Miles Traveled,"16,603,243",Total
12/1/2006,2006,Pierce,County,Observed,Vehicle Miles Traveled,"17,244,241",Total
12/1/2007,2007,Pierce,County,Observed,Vehicle Miles Traveled,"17,364,623",Total
12/1/2008,2008,Pierce,County,Observed,Vehicle Miles Traveled,"16,987,692",Total
12/1/2009,2009,Pierce,County,Observed,Vehicle Miles Traveled,"17,185,111",Total
12/1/2010,2010,Pierce,County,Observed,Vehicle Miles Traveled,"17,419,712",Total
12/1/2011,2011,Pierce,County,Observed,Vehicle Miles Traveled,"17,474,811",Total
12/1/2012,2012,Pierce,County,Observed,Vehicle Miles Traveled,"17,047,176",Total
12/1/2013,2013,Pierce,County,Observed,Vehicle Miles Traveled,"17,272,923",Total
12/1/2014,2014,Pierce,County,Observed,Vehicle Miles Traveled,"17,435,404",Total
12/1/2015,2015,Pierce,County,Observed,Vehicle Miles Traveled,"17,835,715",Total
12/1/2016,2016,Pierce,County,Observed,Vehicle Miles Traveled,"18,515,796",Total
12/1/2017,2017,Pierce,County,Observed,Vehicle Miles Traveled,"18,630,000",Total
12/1/2018,2018,Pierce,County,Observed,Vehicle Miles Traveled,"18,858,479",Total
12/1/2019,2019,Pierce,County,Observed,Vehicle Miles Traveled,"18,966,366",Total
12/1/2020,2020,Pierce,County,Observed,Vehicle Miles Traveled,"16,304,353",Total
12/1/2021,2021,Pierce,County,Observed,Vehicle Miles Traveled,"17,405,000",Total
12/1/2022,2022,Pierce,County,Observed,Vehicle Miles Traveled,"17,582,611",Total
12/1/2018,2018,Pierce,County,Forecast,Vehicle Miles Traveled,"18,858,479",Total
12/1/2019,2019,Pierce,County,Forecast,Vehicle Miles Traveled,"18,966,366",Total
12/1/2020,2020,Pierce,County,Forecast,Vehicle Miles Traveled,"18,966,356",Total
12/1/2021,2021,Pierce,County,Forecast,Vehicle Miles Traveled,"19,074,243",Total
12/1/2022,2022,Pierce,County,Forecast,Vehicle Miles Traveled,"19,182,120",Total
12/1/2023,2023,Pierce,County,Forecast,Vehicle Miles Traveled,"19,289,996",Total
12/1/2024,2024,Pierce,County,Forecast,Vehicle Miles Traveled,"19,397,873",Total
12/1/2025,2025,Pierce,County,Forecast,Vehicle Miles Traveled,"19,505,750",Total
12/1/2026,2026,Pierce,County,Forecast,Vehicle Miles Traveled,"19,613,627",Total
12/1/2027,2027,Pierce,County,Forecast,Vehicle Miles Traveled,"19,721,504",Total
12/1/2028,2028,Pierce,County,Forecast,Vehicle Miles Traveled,"19,829,381",Total
12/1/2029,2029,Pierce,County,Forecast,Vehicle Miles Traveled,"19,937,257",Total
12/1/2030,2030,Pierce,County,Forecast,Vehicle Miles Traveled,"20,153,011",Total
12/1/2031,2031,Pierce,County,Forecast,Vehicle Miles Traveled,"20,295,576",Total
12/1/2032,2032,Pierce,County,Forecast,Vehicle Miles Traveled,"20,438,140",Total
12/1/2033,2033,Pierce,County,Forecast,Vehicle Miles Traveled,"20,580,705",Total
12/1/2034,2034,Pierce,County,Forecast,Vehicle Miles Traveled,"20,723,270",Total
12/1/2035,2035,Pierce,County,Forecast,Vehicle Miles Traveled,"20,865,835",Total
12/1/2036,2036,Pierce,County,Forecast,Vehicle Miles Traveled,"21,008,399",Total
12/1/2037,2037,Pierce,County,Forecast,Vehicle Miles Traveled,"21,150,964",Total
12/1/2038,2038,Pierce,County,Forecast,Vehicle Miles Traveled,"21,293,529",Total
12/1/2039,2039,Pierce,County,Forecast,Vehicle Miles Traveled,"21,436,093",Total
12/1/2040,2040,Pierce,County,Forecast,Vehicle Miles Traveled,"21,578,658",Total
12/1/2041,2041,Pierce,County,Forecast,Vehicle Miles Traveled,"21,710,792",Total
12/1/2042,2042,Pierce,County,Forecast,Vehicle Miles Traveled,"21,842,926",Total
12/1/2043,2043,Pierce,County,Forecast,Vehicle Miles Traveled,"21,975,061",Total
12/1/2044,2044,Pierce,County,Forecast,Vehicle Miles Traveled,"22,107,195",Total
12/1/2045,2045,Pierce,County,Forecast,Vehicle Miles Traveled,"22,239,329",Total
12/1/2046,2046,Pierce,County,Forecast,Vehicle Miles Traveled,"22,371,463",Total
12/1/2047,2047,Pierce,County,Forecast,Vehicle Miles Traveled,"22,503,597",Total
12/1/2048,2048,Pierce,County,Forecast,Vehicle Miles Traveled,"22,635,732",Total
12/1/2049,2049,Pierce,County,Forecast,Vehicle Miles Traveled,"22,767,866",Total
12/1/2050,2050,Pierce,County,Forecast,Vehicle Miles Traveled,"22,800,000",Total
12/1/1980,1980,Snohomish,County,Observed,Vehicle Miles Traveled,"7,277,546",Total
12/1/1981,1981,Snohomish,County,Observed,Vehicle Miles Traveled,"6,895,925",Total
12/1/1982,1982,Snohomish,County,Observed,Vehicle Miles Traveled,"6,726,404",Total
12/1/1983,1983,Snohomish,County,Observed,Vehicle Miles Traveled,"6,450,833",Total
12/1/1984,1984,Snohomish,County,Observed,Vehicle Miles Traveled,"6,175,262",Total
12/1/1985,1985,Snohomish,County,Observed,Vehicle Miles Traveled,"6,879,278",Total
12/1/1986,1986,Snohomish,County,Observed,Vehicle Miles Traveled,"6,712,703",Total
12/1/1987,1987,Snohomish,County,Observed,Vehicle Miles Traveled,"8,374,182",Total
12/1/1988,1988,Snohomish,County,Observed,Vehicle Miles Traveled,"9,969,957",Total
12/1/1989,1989,Snohomish,County,Observed,Vehicle Miles Traveled,"10,479,160",Total
12/1/1990,1990,Snohomish,County,Observed,Vehicle Miles Traveled,"10,665,738",Total
12/1/1991,1991,Snohomish,County,Observed,Vehicle Miles Traveled,"10,924,535",Total
12/1/1992,1992,Snohomish,County,Observed,Vehicle Miles Traveled,"11,482,050",Total
12/1/1993,1993,Snohomish,County,Observed,Vehicle Miles Traveled,"11,737,497",Total
12/1/1994,1994,Snohomish,County,Observed,Vehicle Miles Traveled,"12,002,289",Total
12/1/1995,1995,Snohomish,County,Observed,Vehicle Miles Traveled,"12,248,391",Total
12/1/1996,1996,Snohomish,County,Observed,Vehicle Miles Traveled,"12,774,115",Total
12/1/1997,1997,Snohomish,County,Observed,Vehicle Miles Traveled,"13,363,422",Total
12/1/1998,1998,Snohomish,County,Observed,Vehicle Miles Traveled,"13,676,380",Total
12/1/1999,1999,Snohomish,County,Observed,Vehicle Miles Traveled,"13,881,015",Total
12/1/2000,2000,Snohomish,County,Observed,Vehicle Miles Traveled,"14,195,181",Total
12/1/2001,2001,Snohomish,County,Observed,Vehicle Miles Traveled,"14,254,171",Total
12/1/2002,2002,Snohomish,County,Observed,Vehicle Miles Traveled,"14,415,839",Total
12/1/2003,2003,Snohomish,County,Observed,Vehicle Miles Traveled,"14,345,802",Total
12/1/2004,2004,Snohomish,County,Observed,Vehicle Miles Traveled,"14,260,068",Total
12/1/2005,2005,Snohomish,County,Observed,Vehicle Miles Traveled,"14,429,711",Total
12/1/2006,2006,Snohomish,County,Observed,Vehicle Miles Traveled,"14,707,824",Total
12/1/2007,2007,Snohomish,County,Observed,Vehicle Miles Traveled,"14,986,022",Total
12/1/2008,2008,Snohomish,County,Observed,Vehicle Miles Traveled,"14,613,719",Total
12/1/2009,2009,Snohomish,County,Observed,Vehicle Miles Traveled,"14,859,408",Total
12/1/2010,2010,Snohomish,County,Observed,Vehicle Miles Traveled,"15,373,670",Total
12/1/2011,2011,Snohomish,County,Observed,Vehicle Miles Traveled,"15,346,630",Total
12/1/2012,2012,Snohomish,County,Observed,Vehicle Miles Traveled,"15,302,540",Total
12/1/2013,2013,Snohomish,County,Observed,Vehicle Miles Traveled,"15,353,501",Total
12/1/2014,2014,Snohomish,County,Observed,Vehicle Miles Traveled,"15,523,004",Total
12/1/2015,2015,Snohomish,County,Observed,Vehicle Miles Traveled,"15,828,094",Total
12/1/2016,2016,Snohomish,County,Observed,Vehicle Miles Traveled,"16,361,986",Total
12/1/2017,2017,Snohomish,County,Observed,Vehicle Miles Traveled,"16,449,000",Total
12/1/2018,2018,Snohomish,County,Observed,Vehicle Miles Traveled,"16,607,806",Total
12/1/2019,2019,Snohomish,County,Observed,Vehicle Miles Traveled,"16,597,145",Total
12/1/2020,2020,Snohomish,County,Observed,Vehicle Miles Traveled,"14,141,073",Total
12/1/2021,2021,Snohomish,County,Observed,Vehicle Miles Traveled,"15,192,000",Total
12/1/2022,2022,Snohomish,County,Observed,Vehicle Miles Traveled,"15,491,572",Total
12/1/2018,2018,Snohomish,County,Forecast,Vehicle Miles Traveled,"16,607,806",Total
12/1/2019,2019,Snohomish,County,Forecast,Vehicle Miles Traveled,"16,597,145",Total
12/1/2020,2020,Snohomish,County,Forecast,Vehicle Miles Traveled,"16,810,353",Total
12/1/2021,2021,Snohomish,County,Forecast,Vehicle Miles Traveled,"16,799,692",Total
12/1/2022,2022,Snohomish,County,Forecast,Vehicle Miles Traveled,"17,002,240",Total
12/1/2023,2023,Snohomish,County,Forecast,Vehicle Miles Traveled,"17,204,787",Total
12/1/2024,2024,Snohomish,County,Forecast,Vehicle Miles Traveled,"17,407,334",Total
12/1/2025,2025,Snohomish,County,Forecast,Vehicle Miles Traveled,"17,609,881",Total
12/1/2026,2026,Snohomish,County,Forecast,Vehicle Miles Traveled,"17,812,429",Total
12/1/2027,2027,Snohomish,County,Forecast,Vehicle Miles Traveled,"18,014,976",Total
12/1/2028,2028,Snohomish,County,Forecast,Vehicle Miles Traveled,"18,217,523",Total
12/1/2029,2029,Snohomish,County,Forecast,Vehicle Miles Traveled,"18,420,070",Total
12/1/2030,2030,Snohomish,County,Forecast,Vehicle Miles Traveled,"18,825,165",Total
12/1/2031,2031,Snohomish,County,Forecast,Vehicle Miles Traveled,"18,981,845",Total
12/1/2032,2032,Snohomish,County,Forecast,Vehicle Miles Traveled,"19,138,525",Total
12/1/2033,2033,Snohomish,County,Forecast,Vehicle Miles Traveled,"19,295,205",Total
12/1/2034,2034,Snohomish,County,Forecast,Vehicle Miles Traveled,"19,451,885",Total
12/1/2035,2035,Snohomish,County,Forecast,Vehicle Miles Traveled,"19,608,566",Total
12/1/2036,2036,Snohomish,County,Forecast,Vehicle Miles Traveled,"19,765,246",Total
12/1/2037,2037,Snohomish,County,Forecast,Vehicle Miles Traveled,"19,921,926",Total
12/1/2038,2038,Snohomish,County,Forecast,Vehicle Miles Traveled,"20,078,606",Total
12/1/2039,2039,Snohomish,County,Forecast,Vehicle Miles Traveled,"20,235,286",Total
12/1/2040,2040,Snohomish,County,Forecast,Vehicle Miles Traveled,"20,391,966",Total
12/1/2041,2041,Snohomish,County,Forecast,Vehicle Miles Traveled,"20,542,769",Total
12/1/2042,2042,Snohomish,County,Forecast,Vehicle Miles Traveled,"20,693,573",Total
12/1/2043,2043,Snohomish,County,Forecast,Vehicle Miles Traveled,"20,844,376",Total
12/1/2044,2044,Snohomish,County,Forecast,Vehicle Miles Traveled,"20,995,180",Total
12/1/2045,2045,Snohomish,County,Forecast,Vehicle Miles Traveled,"21,145,983",Total
12/1/2046,2046,Snohomish,County,Forecast,Vehicle Miles Traveled,"21,296,786",Total
12/1/2047,2047,Snohomish,County,Forecast,Vehicle Miles Traveled,"21,447,590",Total
12/1/2048,2048,Snohomish,County,Forecast,Vehicle Miles Traveled,"21,598,393",Total
12/1/2049,2049,Snohomish,County,Forecast,Vehicle Miles Traveled,"21,749,197",Total
12/1/2050,2050,Snohomish,County,Forecast,Vehicle Miles Traveled,"21,900,000",Total
12/1/1980,1980,Region,PSRC Region,Observed,Vehicle Miles Traveled,"36,408,000",Total
12/1/1981,1981,Region,PSRC Region,Observed,Vehicle Miles Traveled,"39,431,000",Total
12/1/1982,1982,Region,PSRC Region,Observed,Vehicle Miles Traveled,"40,506,000",Total
12/1/1983,1983,Region,PSRC Region,Observed,Vehicle Miles Traveled,"42,554,000",Total
12/1/1984,1984,Region,PSRC Region,Observed,Vehicle Miles Traveled,"44,603,000",Total
12/1/1985,1985,Region,PSRC Region,Observed,Vehicle Miles Traveled,"46,082,000",Total
12/1/1986,1986,Region,PSRC Region,Observed,Vehicle Miles Traveled,"47,979,000",Total
12/1/1987,1987,Region,PSRC Region,Observed,Vehicle Miles Traveled,"53,679,000",Total
12/1/1988,1988,Region,PSRC Region,Observed,Vehicle Miles Traveled,"57,538,000",Total
12/1/1989,1989,Region,PSRC Region,Observed,Vehicle Miles Traveled,"61,712,000",Total
